{COVID19
{COVID19
COVID19|2021-04-23 22:42:50.748161
HR26BR9044|2021-04-23 22:50:45.536037
HR26BR9044|2021-04-23 23:43:28.682550
HR26BR9044|2021-04-23 23:49:44.987590
HR26BR9044|2021-04-23 23:52:11.567090
HR26BR9044|2021-04-23 23:53:14.611854
EV2727|2021-04-24 00:25:40.425968
EV2727|2021-04-24 00:31:37.406682
EV2727|2021-04-24 00:33:08.966420
EV2727|2021-04-24 00:35:02.308954
EV2727|2021-04-24 00:35:37.293567
EV2727|2021-04-24 00:38:32.554375
EV2727|2021-04-24 00:39:36.354157
EV2727|2021-04-24 00:40:58.613604
EV2727|2021-04-24 12:40:42.733114
